name,latitude,longitude,historic,tourism,amenity
Kościół pw. Świętego Jana Apostoła i Ewangelisty,51.9294728,22.6548639,church,attraction,place_of_worship
Cmentarz żydowski,49.6626306,21.1486393,Unknown,attraction,Unknown
Park linowy,53.5527222,18.6004865,Unknown,attraction,Unknown
Lázeňské Zoo,49.538332,18.3057788,Unknown,attraction,Unknown
Kuźnia,51.3120379,20.9782346,Unknown,attraction,Unknown
Pracownie ceramiczna i giserska,51.3120044,20.9785433,Unknown,attraction,Unknown
Brama Królewska,53.4283995,14.5566933,city_gate,attraction,Unknown
Крайсхаус (ратуша) Гердауэна,54.3542973,21.3092894,Unknown,attraction,Unknown
Kościół pw. Podwyższenia Krzyża Świętego,53.0284763,18.4508665,Unknown,attraction,place_of_worship
"Kościół św. Anny w Trzęsówce - stary, zabytkowy",50.2950282,21.6791322,Unknown,attraction,place_of_worship
Most kolejowy Tadeusza Porembalskiego,49.7856531,22.7705204,Unknown,attraction,Unknown
Скельний (печерний) монастир,49.1148441,23.7005125,ruins,attraction,Unknown
Myslivecká chata,49.9898201,18.1319394,Unknown,attraction,Unknown
Царква Святога апостала Лукі,51.7457569,23.5916355,Unknown,attraction,place_of_worship
Kurzyniec,53.8603321,23.5289467,Unknown,attraction,Unknown
Śluza Perkuć,53.8989909,23.318746,Unknown,attraction,Unknown
Śluza Sosnówek,53.8911774,23.4130718,Unknown,attraction,Unknown
Śluza Tartak,53.8821825,23.4616747,Unknown,attraction,Unknown
Śluza Kudrynki,53.8782737,23.5017938,Unknown,attraction,Unknown
Dwór Wilkowo,52.3999915,16.4969758,castle,attraction,Unknown
Dwór Niewierz,52.45313,16.3466867,castle,attraction,Unknown
Kościół pw. Świętej Anny,52.5710422,18.3203019,yes,attraction,place_of_worship
Kościół parafialny pw. Narodzenia Najświętszej Maryi Panny i św. Witalisa Męczennika,52.0384895,19.6341452,church,attraction,place_of_worship
Pałac w Strzelcach,52.314342,19.4057927,palace,attraction,Unknown
Ruiny Klasztoru Zakonnic św. Marii Magdaleny,51.1985598,15.3993944,Unknown,attraction,Unknown
Okrągły dom,50.4890717,18.9588376,Unknown,attraction,Unknown
Dawny cmentarz greko-katolicki,50.1763403,23.4010988,grave_yard,attraction,Unknown
Hanácký statek,49.2740509,16.9982251,Unknown,attraction,Unknown
Fort XIII Karola Kniaziewicza,52.9830458,18.6154463,fort,attraction,Unknown
Fort XII Władysława Jagiełły,52.9851773,18.5940198,fort,attraction,Unknown
Dzwonnica,52.1973909,23.2064267,Unknown,attraction,Unknown
Leśniczówka Poćwiardówka,51.8698264,19.7317175,Unknown,attraction,Unknown
Młyn Wodny 1948 r.,51.8575174,19.7425291,Unknown,attraction,Unknown
Dawna Fabryka Amunicji Deutsche Sprengchemie,51.7096464,14.7158277,explosives factory,attraction,Unknown
Żeremia i tamy bobrów,49.5112388,21.3145276,Unknown,attraction,Unknown
Dwór w Wałdowie,53.3233651,18.2270143,castle,attraction,Unknown
Fort VI Jaremy Wiśniowieckiego,53.0390422,18.5858869,fort,attraction,Unknown
Fort VII Tadeusza Kościuszki,53.0347211,18.5645519,fort,attraction,Unknown
Chwalebne kamienie,53.0359432,18.5704161,monument,Unknown,Unknown
Geologická expozice VSB-TUO,49.8317546,18.1635713,Unknown,attraction,Unknown
Fort VIII Króla Kazimierza Wielkiego,53.0233984,18.5569571,fort,attraction,Unknown
Fort IX Bolesława Chrobrego,53.0155903,18.5585519,fort,attraction,Unknown
Bohaterów II Wojny Światowej,51.9428562,15.5094051,monument,Unknown,Unknown
Grobowiec rodziny von Reuss,52.0461883,15.7122023,tomb,attraction,Unknown
Plac Marszałka Józefa Piłsudskiego,52.2325055,19.3574598,Unknown,attraction,Unknown
Kurhany w Mściszewicach,54.2596559,17.8418412,archaeological_site,attraction,Unknown
Fort XV Henryka Dąbrowskiego,52.999927,18.6472296,fort,attraction,Unknown
Fort XVI Kolejowy,53.0048261,18.6345897,fort,attraction,Unknown
Tężnia Solankowa,50.1043189,18.9858199,Unknown,attraction,Unknown
Getreidesilo,53.2151954,14.0189519,Unknown,attraction,Unknown
Rozhledna Vinice,50.0776977,14.7303934,Unknown,attraction,Unknown
Pałac w Solnikach,51.7201693,15.6527741,castle,attraction,Unknown
Sanktuarium Matki Bożej Studzieniczańskiej,53.8593482,23.0941423,Unknown,attraction,Unknown
Nagrobki rodziny Leopoldów z XIX w. w Kwiatkowicach,51.7417221,19.1126837,memorial,attraction,Unknown
Indiánská vesnička Rosehill,50.8539895,14.2894749,Unknown,attraction,Unknown
Pomnik w Monowicach,50.0336701,19.2540162,monument,Unknown,Unknown
Park Dworski,51.5325905,19.7767987,Unknown,attraction,Unknown
Pomnik Nekropolii Kresowych,52.2598988,15.5274938,monument,Unknown,Unknown
Kapliczka Niepokalanego Poczęcia,51.7421095,19.112535,wayside_shrine,attraction,Unknown
Cmentarz żydowski w Piszu,53.6185671,21.8000374,Unknown,attraction,Unknown
Ruiny strzelnicy niemieckiej,53.6195005,21.7986609,Unknown,attraction,Unknown
Polana edukacyjna im. prof. T. Przybylskiego,52.2404183,17.0941898,Unknown,attraction,Unknown
Zegar Słoneczny,52.1206481,20.6726425,monument,Unknown,Unknown
Schron bojowy nr 711 Oderstellung,52.0282878,15.6172439,yes,attraction,Unknown
Schron bojowy nr 708 Oderstellung,52.0289683,15.6240149,yes,attraction,Unknown
Brama Krośnieńska (Piastowska),52.0852674,15.6237724,yes,attraction,Unknown
Samolot myśliwski MiG-23MF,49.5859631,21.9615619,monument,Unknown,Unknown
Церква Пресвятої Трійці,49.4661452,23.5951491,heritage,attraction,place_of_worship
Samolot Lim 6bisR  nr.5037,52.1650923,15.8366462,aircraft,attraction,Unknown
Śmigłowiec Mi-2T,52.1672334,15.8372704,aircraft,attraction,Unknown
Mauzoleum Böttingerów,52.5112725,15.1682122,tomb,attraction,Unknown
Wieża Bismarcka,51.604371,15.1298159,Unknown,attraction,Unknown
Diabelski Kamień (Teufelsstein),51.629952,14.8016566,Unknown,attraction,Unknown
Dworek myśliwski,51.855605,15.992828,castle,attraction,Unknown
Schron wartowniczy,51.8792047,16.0731056,Unknown,attraction,Unknown
Králova stolice,49.8003734,14.2157481,Unknown,attraction,shelter
"Punkt orientacyjny ""wodokaczka""",52.3819401,15.2232721,ruins,attraction,Unknown
Wieża kościoła ewangelickiego,51.7823348,15.4947068,ruins,attraction,Unknown
Synagoga kahalna w Lutowiskach,49.252446,22.6953403,synagogue,attraction,Unknown
Fontanna z rusałką,52.5142439,15.2469226,Unknown,attraction,fountain
Szachulcowy dom,53.2960805,16.9876004,Unknown,attraction,Unknown
Ruiny zamku w Janowcu,51.588464,15.4715599,castle,attraction,Unknown
Indiańska wioska,52.0553114,15.9586857,Unknown,attraction,Unknown
Lokomotywownia II (Piaseczyńska Kolej Wąskotorowa),52.0694989,21.0247028,yes,attraction,Unknown
Cmentarz żydowski,51.9108256,23.1866762,Unknown,attraction,Unknown
Portyk,51.7482096,15.5981574,Unknown,attraction,Unknown
Bývalá káznice Cejl,49.1997197,16.6225547,yes,attraction,Unknown
Wirydarz,53.9734441,14.7723295,Unknown,attraction,Unknown
Domek Chiński,49.6860333,19.2015063,Unknown,attraction,Unknown
Kopce w Simocie,50.0877127,19.499353,boundary_marker,attraction,Unknown
Nowy cmentarz żydowski w Wohyniu,51.7497459,22.7878875,yes,attraction,Unknown
Písecká věž,49.3062092,14.1487347,Unknown,attraction,Unknown
Prochownia Terespol,52.076425,23.6080603,yes,attraction,Unknown
Pałac Kurnatowskich,52.0923424,16.2029799,castle,attraction,Unknown
