track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
I Know,When The Pawn...,1999-11-09,0uhYgQQ6WX9rCONnum7Fmw,295133,0.324,0.211,0,-14.223,1,0.0287,0.944,0.0031,0.118,0.199,146.367
Sleep to Dream,Tidal,1996-07-23,51HiIbv8gO0HvwpmAxXAFe,248560,0.725,0.575,2,-9.769,1,0.0511,0.0301,4.84e-05,0.136,0.757,144.157
Sullen Girl,Tidal,1996-07-23,6cVxGzo7214XabSXFGasNl,234706,0.306,0.297,9,-11.54,0,0.0284,0.761,0.115,0.121,0.148,137.516
Shadowboxer,Tidal,1996-07-23,0XMzFZgFvEqH2nEa3iwNUD,324266,0.298,0.52,2,-7.297,0,0.0303,0.265,0,0.165,0.223,74.131
Criminal,Tidal,1996-07-23,6PNvv1dmDbOWrAYwEcuKBX,341533,0.595,0.804,7,-7.911,0,0.0326,0.0129,1.97e-05,0.299,0.586,89.846
Slow Like Honey,Tidal,1996-07-23,6DuX3rs3gHCEHMyDwC856c,356400,0.356,0.27,7,-12.119,0,0.0277,0.634,6.15e-05,0.0998,0.121,141.936
The First Taste,Tidal,1996-07-23,21Xc8hEIzv81jwiftI4hJB,286960,0.682,0.729,6,-10.293,1,0.0528,0.259,0.0105,0.123,0.536,89.886
Never Is a Promise,Tidal,1996-07-23,6fxVwgRXQgTI3AZiuQlJst,354533,0.328,0.193,0,-13.423,1,0.0331,0.908,0.016,0.112,0.187,116.649
The Child Is Gone,Tidal,1996-07-23,0hZB0qz8F4ogsxHVXXri5Q,254866,0.563,0.399,0,-10.638,0,0.024,0.343,0.00234,0.114,0.268,96.865
Pale September,Tidal,1996-07-23,0CwdS94pdZ9C5tT5g7vaWS,350933,0.264,0.191,1,-16.879,1,0.03,0.902,0.0398,0.103,0.16,170.208
Carrion,Tidal,1996-07-23,3pOxPpj3JhsmRAlaMrrxSy,343666,0.332,0.417,2,-9.599,0,0.0356,0.677,0.0364,0.104,0.179,123.374
Criminal - Cover Version,Criminal (Cover Version),2021-07-29,2IszRUg09aU992FsAx10qV,303375,0.339,0.546,10,-6.73,1,0.0427,0.922,0.000142,0.118,0.203,77.924
Love More,Love More,2021-04-15,6wleKOJoHGaOPtJJWvJes6,272067,0.605,0.442,8,-14.252,1,0.0623,0.29,0.0122,0.219,0.72,139.979
I Know (feat. Fiona Apple) - RISE Recording,I Know (feat. Fiona Apple) [RISE Recording],2019-01-25,3SO5iPrvbgXz2XUwjOExDs,299613,0.52,0.253,0,-12.407,1,0.0344,0.394,0.000131,0.109,0.219,139.555
Parting Gift - Live Version,Parting Gift (Live Version),2005-10-11,4TiDpXRdj9hmMBMys8xJNQ,216933,0.467,0.101,9,-11.825,0,0.0759,0.937,0,0.103,0.157,169.862
Fast As You Can - Radio Edit,Fast As You Can EP,1999-11-20,0zgCpJcPNPXrjI7ruy5UGY,226426,0.501,0.697,0,-9.382,1,0.0505,0.25,0.00663,0.0806,0.545,137.929
Across the Universe - Remix,Fast As You Can EP,1999-11-20,1nB9ygAcejz2u3hsm280bh,222506,0.578,0.8,4,-9.469,1,0.0357,0.0754,0.000337,0.114,0.507,130.017
"Never Is A Promise - Live from Sessions at West 54th, New York, NY - November 1997",Fast As You Can EP,1999-11-20,2bnfPdYBJBfTe2IvYS3O6o,382066,0.363,0.174,0,-16.117,1,0.0445,0.905,2.88e-06,0.785,0.187,136.725
