name,latitude,longitude
Holmes Drive,44.043961,-70.4386125
Pulsifer Road,44.063247,-70.3566005
Keystone Spring Road,44.0781385,-70.325221
Laken Ledge Lane,44.0371945,-70.441242
Old Plains Road,44.0510342,-70.373279
Florence Lane,44.0412545,-70.4634895
Florence Lane,44.041053,-70.4615685
Amy Street,44.0658557,-70.3031611
Walker Road,44.1002045,-70.367533
Outlet Road,43.988421,-70.364565
Lakewood Lane,44.048391,-70.452479
Downy Lane,44.028158,-70.328114
Chickadee Lane,44.0228685,-70.385877
Levine Road,44.0690194,-70.299364
Andrew Street,44.0646675,-70.304855
Rosewood Lane,44.0662894,-70.3865448
Philip Way,44.0506715,-70.3856365
Torrey Road,44.0491355,-70.3167975
Aggregate Road,44.060536,-70.3898023
Johnson Hill Road,44.0226085,-70.4615675
Johnson Hill Road,44.0348435,-70.4524795
Arthur's Way,44.042662,-70.3158895
Old County Road,44.089808,-70.451063
Whaleback Drive,44.0502275,-70.3826985
Spring Water Road,44.0220433,-70.3433059
Larch Drive,44.050407,-70.4417095
Larch Drive,44.052156,-70.440589
Worthley Pond Lane,44.0288423,-70.3425996
Amanda Circle,44.0293245,-70.3358325
Amanda Circle,44.028403,-70.336091
Ricker Road,44.0270613,-70.3658865
Ricker Road,44.0259785,-70.3647806
Ricker Road,44.0247157,-70.3650772
Black Duck Lane,44.0110635,-70.3988409
Black Duck Lane,44.0115895,-70.401523
Maine Street,44.0071894,-70.380509
Deerfield Road,43.9978705,-70.3916495
Outlet Road,43.9877807,-70.355722
Hale Road,44.0072309,-70.4380481
Shaker Road,43.9821084,-70.3661965
North Raymond Road,43.9564909,-70.3826802
Tiger Hill Road,44.0965685,-70.4654545
Black Island Road,44.0668986,-70.4779748
Old County Road,44.0988155,-70.460567
Marion Drive,41.022057,-80.604767
Johnston Place,41.033857,-80.623258
Johnston Place,41.0333935,-80.6183415
Botsford Street,41.027343,-80.6135425
Canavan Drive,41.035194,-80.6229415
Edna Street,41.0193645,-80.601404
Meadow Lane,41.0349755,-80.616807
Hamilton Avenue,41.036137,-80.610945
Cortland Street,41.0217421,-80.6124808
Diana Drive,41.0209575,-80.6014835
Venloe Drive,41.034395,-80.61085
Circle Drive,41.028368,-80.605009
Outlook Street,41.026457,-80.6143055
Colonial Estates Drive,41.0237118,-80.6145637
2nd Street,41.0256521,-80.6141429
East McKinley Way,41.0241276,-80.6129949
Lee Drive,41.0215645,-80.616475
College Street,41.0215644,-80.6144031
Hill Drive,41.029539,-80.60746
Pamela Court,41.020441,-80.606583
Nesbitt Street,41.0198425,-80.5997175
Nesbitt Street,41.0182396,-80.6074693
Water Street,41.0249228,-80.612601
Ohio Avenue,41.0227206,-80.6176445
Windemere Place,41.020974,-80.6236515
Yellow Creek Drive,41.0154807,-80.6148816
Poland Manor,41.016604,-80.6133985
Poland Manor,41.0181058,-80.6090365
Poland Manor,41.0179938,-80.6089649
Audubon Road,41.022672,-80.6216216
Ida Drive,41.029993,-80.6102185
North Main Street,41.031112,-80.615589
Edgewater Drive,41.0355755,-80.6106975
Sheridan Road,41.025424,-80.615944
Sheridan Road,41.0285092,-80.6192097
Audubon Lane,41.0200427,-80.6197058
Edgewood Oval,41.0072699,-80.6177469
Michigan Avenue,41.021111,-80.6172765
Lee Street,41.0210315,-80.6138945
Evergreen Drive,41.0199635,-80.599952
Indian Trail,41.011325,-80.6144705
Walker Court,41.0208511,-80.6074413
Delaware Avenue,41.0292685,-80.620783
Centennial Drive,41.029311,-80.6087885
Centennial Drive,41.0301995,-80.6108385
West McKinley Way,41.0242531,-80.6158574
Green Meadow Place,41.020958,-80.6102973
North Hine Circle,41.0194974,-80.6084125
Morse Place,41.025885,-80.613388
Ravine Place,41.0160435,-80.6110385
Ravine Place,41.0154545,-80.6099845
Massachusetts Avenue,41.0281276,-80.6203727
The Ledges,41.023383,-80.6092705
Alverne Drive,41.032822,-80.6196605
Alverne Drive,41.033893,-80.623337
Mc Kinley Way West,41.0242495,-80.6146925
Riverside Drive,41.02253,-80.6081639
Riverside Drive,41.025736,-80.606938
Riverside Drive,41.0275544,-80.6095684
College Lane,41.0182986,-80.6177584
Orchard Drive,41.0289645,-80.6114985
Duncan Drive,41.0255645,-80.605804
Island Drive,41.030728,-80.6161
Island Drive,41.030702,-80.6161
South Main Street,41.0232814,-80.6127082
Windemere Drive,41.0208511,-80.6226075
Cover Drive,41.0266214,-80.6200485
Beechwood Trail,41.01919,-80.621062
