name,latitude,longitude
Das Buch,51.0083303,14.7704112
Die Gemeinschaft,51.008434,14.768629
Kamień Świętej Jadwigi,51.8253467,17.9468567
Stanowisko Archeologiczne,51.18568,18.7678
Zespół pięciu Kurhanów w Lesisku,51.3046766,18.8084505
Velká Cikánská jeskyně,50.7328666,14.5731231
Modlivý důl,50.7264094,14.6042385
Průrva Ploučnice,50.6875207,14.7631903
Čertovy hlavy,50.4203454,14.4646137
Brütende Henne,50.8484097,14.7626678
Zigeunerstuben,50.8520133,14.68704
Slunečná brána,50.8095871,14.2570748
Гродна,53.6833095,23.8346268
ehem. Steinsägewerk und Lorenbahn,50.9506238,14.0140661
1200 гвардейцам,54.7112016,20.4902371
Kletterfelsen,51.8154775,14.4359382
Monster Roller,51.8157777,14.4369136
Szyb Erbreich,50.0802027,18.4168455
Unnamed,49.69288,22.01364
Szrenica,50.7914786,15.5140644
Unnamed,50.0704347,22.2374613
Pomnik Polskiego Zwycięstwa nad Odrą,52.8548964,14.1573898
Unnamed,52.8776264,14.2032089
Baszta,53.0151197,14.2833408
Wyrzutnie V3,53.8999438,14.438513
Studnia Świętego Ottona,54.0113637,15.1119707
Kopiec Wyzwolenia,50.3911276,18.9306944
Dom Paulinka,52.076748,21.1009177
Pomnik przyrody,52.0406402,21.1784854
Pomnik przyrody,52.0558983,21.1443456
Pomnik przyrody,52.059033,21.1630678
Památník Terezín,50.5140334,14.166389
Dum tvaru vceliho ulu,50.9603046,15.2645374
Pomnik Braterstwa Broni Żołnierzy Polskich i Radzieckich,53.4162878,14.518487
Varhany,50.7704736,14.6563986
Zamek w Dębnie,49.9641376,20.7154579
Unnamed,49.9783654,21.2910705
Unnamed,49.9787751,21.2911303
Michał Grocholski murder site,51.7613985,22.8661765
Grodzisko wczesnosredniowieczne,49.98614,21.00483
Osada wczesnośredniowieczna,49.98831,21.00331
Pomnik Sandora Petofiego,50.01108,20.98085
Pomnik Adama Mickiewicza,50.0122521,20.9866364
Pomnik Nieznanego Żołnierza,50.0136155,20.9858009
Pomnik Jana Pawła II,50.0129874,20.9874526
Pomnik Gen. Bema,50.0133482,20.9903336
Pomnik I Transportu Więźniów do KL Auschwitz,50.0139128,20.9918008
Pomnik W. Witosa,50.0124947,20.9931279
Pomnik Ofiar Stalinizmu,50.0136126,20.9927701
Muzeum misyjne,53.4858515,18.6704755
Unnamed,53.0982265,17.9095815
Schron bojowy Przedmościa Bydgoskiego (2 CKM),53.1787576,17.8627904
Schron obserwacyjny Przedmościa Bydgoskiego,53.180598,17.8566214
Schron bojowy Przedmościa Bydgoskiego (2 CKM),53.1823951,17.8582303
Schron bojowy Przedmościa Bydgoskiego (1 CKM),53.1795876,17.8574027
Schron bojowy Przedmościa Bydgoskiego (2 CKM),53.1811804,17.8567337
WSG,53.1279427,17.9947059
Dworzec Autobusowy,53.1213241,18.0185814
Unnamed,50.4410557,18.8397234
Teufelswaschbecken,51.1211454,14.5109802
Osada sredniowieczna,53.35188,18.42561
Serca,53.35025,18.42932
Studna,49.7312873,17.3003169
След от снаряда на ферме моста,54.7063635,20.4891634
Родина-Мать,54.717229,20.5016202
Памятный знак в виде верстового столба к 750-летию города от Санкт-Петербурга,54.7185233,20.4939488
"№ 5, Нафтуся",49.2224507,23.3727341
"№15 ""Залізиста""",49.2268613,23.3392714
№ 357 гліцеринова,49.2269169,23.3385647
"№ 18с, Нафтуся",49.2304678,23.3574528
№ 1,49.233871,23.3362324
"№13, iron water",49.236698,23.3429249
"№ 2c, типу Боржомі",49.223694,23.3533701
Teufelsfuß,51.1220029,14.5026004
Balzerovo ležení,50.8633026,14.4058876
Tesaná cesta,50.8465229,14.4068041
Mathias-Otto-Eiche,50.8583564,14.1249803
Das graue Männchen,51.1150324,14.0220729
Unnamed,51.115324,14.0405514
Unnamed,51.1207818,14.042134
Unnamed,51.1214326,14.0413026
Jaskinia Radochowska,50.358885,16.8178031
Unnamed,49.1406992,15.002151
Sousoší Nejsvětější Trojice,49.143664,15.0028036
Radnice,50.2092754,15.8314427
Танк Т-34,54.7165151,20.5093845
Unnamed,50.9671423,14.1315369
1000-jährige Löcknitzer Eiche,53.447385,14.2306842
Radio Relax,50.1369329,14.101402
Mühlstein,50.9392219,14.0061281
Grodzisko Będkowice - Skansen archeologiczny,50.8717969,16.7496084
Pomnik Powstańców Śląskich,50.2635811,19.0240203
Stanisław Moniuszko,50.4438176,16.2438597
Dawne Lotnisko Niemieckie,49.76083,21.63555
Diable Boisko,49.7645481,20.9320849
Kreuzgang,52.0910756,14.6524951
Papradnianska stavnica,49.2429595,18.395499
Pomnik ofiar niemieckich obozów pracy przymusowej,53.4026297,14.5274019
Zum Kohlenmeiler,50.8774358,14.1159649
Japanische Gartenwelt,52.2533241,14.5808298
Čertův sloup,50.0643113,14.4191425
Sloup Nejsvětější Trojice,51.003336,14.4524696
Unnamed,50.3211043,23.1827798
Poidło,50.2837856,23.3992426
Wieża spadochronowa,50.2462704,19.0077116
ledopád Křepelčí stěnka,50.9344161,14.4378727
Bobová dráha Harrachov,50.7787225,15.4163413
Morový sloup,49.731711,17.3003183
Pomnik Trudu Górniczego,50.2449602,19.0410925
Самолёт ИЛ-28,54.7684259,20.4477872
Teufelsstein,52.0958473,14.5245524
Miltitzer Frosch,51.2497634,14.1778463
Dům Gustava Mahlera,49.3936101,15.5912169
Judenteich,52.0812266,14.6677327
Schimpke-Stein,52.0789156,14.6732044
Naturtränke,52.0792749,14.6713912
Orloj,49.5940313,17.2514247
Geldkeller,51.0946019,14.7023687
Jerzy Popiełuszko,50.3542017,18.9107181
zvonička,50.2741692,14.3964476
Zesłańców Sybiru,53.7911477,20.4899149
Groty Nagórzyckie,51.499241,19.9952309
Památný strom (jeřáb oskeruše),50.5028504,14.0074673
Brotstein,50.8573841,14.7396072
Krzyż milenijny,49.7313679,20.3537543
Przełęcz Marszałka Edwarda Rydza-Śmigłego,49.6808965,20.281371
Pomnik bohaterów bitwy pod Mokrą,50.9588414,18.9182199
Hrad Skály,50.5715785,16.1401829
Trzy Morgi Przystań,51.2516348,19.8924154
Żołnierzom 34PP,52.0323199,23.0989715
Pomnik ofiarom terroru komunistycznego,50.3492542,18.9116012
Sztolnia Czarna Górna,50.4359426,16.8734672
Posąg Żubra,51.5401838,20.1352445
Tanzglockenspiel,51.1584751,14.9864027
Teufelsfenster,51.1189031,14.5179935
Rýzmburk,50.432924,16.0455479
prehistoryczny kamieniołom,50.8918239,16.7242712
Kletterfelsen Kids,51.8153374,14.4356662
Mountainbike-Strecke,51.8159385,14.4384204
Adama Mickiewicza,50.4443684,16.8759017
Mlynářův kříž,50.7930912,15.095224
Pomnik Jana Pawła II,50.3609091,22.7423729
Unnamed,50.4003574,18.6264533
Armata Dywizyjna ZiS-3,53.1377039,14.8865453
Armata Dywizyjna ZiS-3,53.1377155,14.8866777
Czołg IS-2,53.1374778,14.8866846
Brama Bańska,53.1404206,14.8918671
Sztolnia Książęca,50.4335282,16.8696077
Kościół pod wezwaniem świętego Jana Chrzciciela,52.0103432,16.2921034
Steintrog (ehm. Pferdetränke),50.9038419,14.0668339
Naturbühne Leupoldishain,50.9002038,14.0346246
Głaz Krajoznawców,53.3423648,14.6644846
Памятник Николаю Чудотворцу,54.7063649,20.5050814
Kursächsische Postmeilensäule,51.2213263,14.1333609
Beczki Grohmana,51.7553675,19.4739108
Lietadlo Lisjunov Li-2,49.4004061,21.7001402
Karpatsko-duklianska operácia,49.3616382,21.593539
Unnamed,49.3849593,21.6009034
Bullwinkelbrunnen,51.5706664,14.3766352
Szaniec Jezuicki,54.3363059,18.6321898
Императрице Елизавете I Петровне,54.6466512,19.8762757
Pomnik Żołnierzy 42 Pułku Piechoty,53.1217662,23.1638858
Żyrafa,51.1052072,17.0754498
Struś,51.1050185,17.075997
Zebra,51.1047863,17.0765214
Lew angolski,51.1046625,17.077168
Dzieciniec,51.1050109,17.0739946
Výpustek,49.2910864,16.7241434
Pałac Schlosserów,51.9694656,19.283013
Małopolski Bank Spółdzielczy,50.0330564,20.2164155
1907 - zvonička,49.8142584,14.4355607
Kursächsische Postmeilensäule,51.0494543,14.082867
Wapienniki,50.4450259,16.8847266
Przedwojenna Latarnia,53.1534813,16.7252471
Unnamed,50.4242887,16.8259034
św. Nepomucen,50.423775,16.8247451
Dąb Sobieskiego,50.129421,18.274016
Groty Mechowskie,54.713563,18.2850399
Diabelski Kamień,54.727565,18.2103396
Pomnik Arki Bożka,50.0865285,18.2151927
mlýnky na potůčku,50.0275354,17.2936125
Pozostałości wieży Bismarcka,50.2276084,19.1573514
Brama Wjazdowa do pałacu w Wilanowie,52.1651066,21.0882945
Wurzelfichte,52.5860635,14.0652426
Pomnik Bohaterom Czerwonych Sztandarów,50.3257,19.1873507
Kauko fontanas,54.8998674,23.9231652
Janko-Mühle,51.1198241,14.4081562
Unnamed,50.3594949,18.8539687
Unnamed,51.1526371,22.9448824
Steinklunsen,50.967125,14.767681
Św. Jadwiga Śląska,50.4663256,16.8821118
Oberförster Schrödter Denkmal,54.0509769,14.0148268
Poległym ofiarom faszyzmu hitlerowskiego w latach 1939-1945,53.6947154,17.5671119
Ostatni niedźwiedź,50.2211208,18.4050302
hrobka rodiny Preidl,50.8015547,14.4153344
Pomnik Poległym w Obronie Ojczyzny,50.8060944,19.1128676
TKt48-151,50.8091677,19.1204055
Židlo,49.9719621,18.1521808
Pstruží farma v Bělé,49.9654638,18.1531618
Diabli Kamień (wierzchołek 2),49.6022787,21.3682531
Diabli Kamień (wierzchołek 1),49.6024129,21.3679426
Pomnik papieski,49.5713769,21.3718033
Mi-2URN,52.181818,21.0665976
Mi-2T,52.1818486,21.0667759
Mi-2R,52.1818142,21.0666914
Unnamed,52.1818094,21.066996
Jana Pawła II,53.7759626,15.7740709
Statua Matki Boskiej Królowej Świata,53.9630718,15.7636248
Letadlo,50.030981,18.0682366
Tank - památník osvobození 1945,50.0338383,18.0765965
Kamień z tryzubem (herbem Ukrainy) i datą 1946,49.4735425,21.6193344
Jaskinia Głęboka,50.5754929,19.5248532
Pomnik Marszałka Józefa Piłsudskiego,53.1324289,23.1617597
Králky,49.3006924,17.7408452
Drábské světničky,50.5314918,15.0322264
kolumna króla Zygmunta II Augusta,53.8438393,22.97894
Mogiła zbiorowa 17 więźniów KL Auschwitz,50.1416836,18.3786528
Ту-3811,52.6371942,23.6224185
altánek,50.8039354,14.4216097
Velké Tiské stěny,50.7862897,14.0344472
Eulenstein,51.2227792,14.0934861
Śpiący Słoń,53.6535932,21.4545581
Alter Brunnen,51.0694951,14.3810798
Dąb nad Mukrem,53.660261,21.3924502
Zakochana Para,53.6892771,21.4174378
Großvaterstuhl,51.0708218,14.3256863
Pamätník a cintorín príslušníkov 1. československého armádneho zboru,49.4146725,21.6999797
Unnamed,49.2455562,21.4376697
Stratený Budzogáň,49.1279402,18.6199956
KWK Rozbark - zakończenie wydobycia,50.3420392,18.9315796
Święty Wojciech,52.5347914,17.6002182
Grubenbahn,52.2569976,14.5762429
Pomnik Bolesława Chrobrego,52.5365085,17.5918354
Čarodějnické procesy,49.9650538,16.9720523
Abenteuer-Kletterwald Zittauer Gebirge,50.881501,14.667905
Gminy Partnerskie,49.6098281,19.9525268
Bojownikom o Wolność i Niepodległość Polski,49.6084116,19.9558771
Pomnik Tadeusza Kościuszki,51.1459754,23.212724
Unnamed,50.8807193,14.6710855
Klášter svaté Anežky české,49.7297975,17.3017088
Pomnik Polski Morskiej,54.5192055,18.5456707
Pomnik Josepha Conrada,54.5185379,18.5586337
Svatý Ján - památný strom,49.6426147,17.2371156
Kelchstein,50.8331097,14.7417008
Unnamed,50.5911687,16.8125371
Morový mariánský sloup,49.9650548,16.9705164
Alpine Coaster,50.8275179,15.5233476
Augenwasserquelle,50.7723032,14.6011693
Fossiler Mammutbaumstubben,50.8988915,14.8065738
Ofiar II Wojny Światowej,52.5304801,17.600456
Ludziom Morza,52.530896,17.6019376
Aleksander Fredro,52.5335814,17.6014469
Steine aus der Eiszeit,52.7686333,14.0744705
Jan Nepomucen,49.8210856,19.0426358
Pomnik ks. Marcina Lutra,49.8225622,19.0411111
Аусфальские ворота,54.7123356,20.4904637
Железнодорожные ворота,54.7101875,20.4904226
Sztolnia 300 złotych,50.643442,16.8304562
Güterwaggons,51.8137275,14.4337333
Pflugrücker,51.8145045,14.4339415
Wassermühle Worin e.V.,52.5220294,14.2749068
Památník obětem světových válek,50.2366838,15.6350514
Jan Palach,49.508213,18.3721823
John Lennon,49.5081461,18.3726916
Pomnik Bolesława Chrobrego i Mieszka I,52.5333445,17.5842894
Смотровая площадка начала20го века,54.7222347,20.5043109
Памятный знак землякам-космонавтам,54.7203839,20.4821707
Heřmanický vodopád,50.8125298,14.7151761
Bečkovský vodopád,50.6308851,16.0165564
Rešovské vodopády,49.8816089,17.2098972
dělící vodní práh,49.4100458,17.7521461
Svatá studna,49.8770439,17.8606736
Wysoki Kamień,50.8455032,15.4916137
Poutní kaple Ostré,50.5877563,14.3726848
Pomnik Solidarności,50.0712136,20.0370677
Pomnik Krzyża Nowohuckiego,50.0792145,20.0353137
Cis Henrykowski,51.1714718,15.2182957
Pomnik Solidarności,49.6176725,20.715726
Sztolnia Robert,50.6457767,16.8278863
Sztolnia Ceglana,50.6458406,16.8310596
Sztolnia z Kominem,50.6462876,16.8298661
Ruiny groty,52.3728956,20.9159479
Łuk Triumfalny,52.3736747,20.9165857
Sztolnia Krótka,50.6460323,16.8317259
Sztolnia Studencka,50.6462378,16.8319467
Rybi Rynek,53.1228736,18.0027273
Vápenná pec Jasiowka,49.6931577,18.667573
Pomnik Cesarza Franciszka Józefa I,49.7042081,18.6900024
Piekiełko,50.27912,17.4439027
Mohyla Ivančena,49.5671437,18.4381206
Czołg Zwycięski,52.3525209,14.6361584
Kurhan w Mieroszynie,54.8110174,18.3274106
Großsteingrab Mürow,53.0634775,14.0326234
Das Gleichnis vom Senfkorn,51.0115475,14.7529861
Burgruine Schlosswall,53.0214099,14.0016193
zegar słoneczny,52.0414974,21.5322248
Тарасові Шевченку,49.5257044,23.9786841
MiG-15,51.6172399,20.5855923
sv. Kryštof,49.5478825,17.243717
Unnamed,49.62833,20.95179
Unnamed,49.6250749,20.945263
památník Bitvy tří císařů,49.1412035,16.7939496
Jaskinia Jasna,50.4277887,19.6756553
Jaskinia Biśnik,50.4264325,19.6652382
Jaskinia Psia,50.4265304,19.6657524
Pomnik św. Wojciecha,52.7999084,18.2623098
Grobowce megalityczne,52.4092839,18.8755503
Rekreační Středisko Astrál (Pyramida Bohdalov),49.4680438,15.8635375
Ufo,52.4003304,14.4739957
Wulkower Kräutergarten,52.4014495,14.4700502
Schwedenlöcher,50.9699919,14.0739933
